Label,Trial_ID,Time,S0,S1,S2,S3,S4
ball,2,3.55,4558971.13,4998706.44,10377102.67,11828316.23,12826917.41
ball,2,3.6,4559400.91,4994157.42,10386798.77,11838407.9,12768133.95
ball,2,3.65,4555969.95,5028775.0,10380382.32,11762346.51,12761034.2
ball,2,3.7,4555619.24,5023144.83,10393498.76,11848280.61,12840789.05
ball,2,3.75,4587032.19,4996693.09,10313707.86,11835901.45,12837343.33
ball,2,3.8,4557497.04,4992510.82,10380083.15,11771178.62,12834451.57
ball,2,3.85,4587540.66,5021721.77,10378929.53,11834890.87,12771300.94
ball,2,3.9,4555435.36,5028530.62,10393404.12,11848442.52,12749483.95
ball,2,3.95,4559639.84,5024704.14,10316413.99,11769260.12,12824711.13
ball,3,4.0,4561078.88,5051300.16,10374466.47,11748665.25,12847188.63
ball,3,4.05,4558575.44,5047309.24,10380016.14,11753369.97,12760934.84
ball,3,4.1,4560960.94,5050524.55,10449390.24,11824941.79,12761999.58
ball,3,4.15,4586034.17,5054386.81,10452010.74,11768395.97,12856060.97
ball,3,4.2,4553224.2,5022340.27,10384920.54,11836392.38,12780359.54
ball,3,4.25,4585231.8,5052206.78,10445914.38,11829607.14,12857724.07
ball,3,4.3,4555299.47,5021648.52,10438390.33,11834785.21,12759529.4
ball,3,4.35,4582343.95,5053902.88,10447268.35,11751849.11,12780014.82
ball,3,4.4,4558836.07,5056137.46,10452493.05,11821381.85,12775689.69
ball,3,4.45,4580586.98,5046582.92,10450669.17,11764349.59,12775598.7
ball,3,4.5,4583635.15,5049127.42,10440648.51,11768258.61,12836923.65
ball,3,4.55,4584471.49,5053064.18,10450548.49,11763005.08,12765528.72
ball,3,4.6,4555114.4,5018879.16,10387080.12,11838910.09,12763246.33
ball,3,4.65,4560963.21,5050617.73,10434870.71,11759403.02,12851003.01
ball,3,4.7,4587135.48,5024557.78,10444976.69,11752900.03,12839962.25
ball,3,4.75,4555468.07,5017203.29,10385278.57,11835093.83,12760037.75
ball,3,4.8,4554650.13,5019516.02,10449276.07,11828866.27,12772230.45
ball,3,4.85,4581686.58,5016188.06,10371920.93,11822871.0,12859940.78
ball,3,4.9,4580475.64,5046228.59,10384128.86,11841374.16,12855275.21
ball,3,4.95,4559162.29,5022487.31,10436551.52,11749585.51,12855589.98
ball,3,5.0,4583886.37,5023864.29,10382095.2,11836371.39,12854745.95
ball,3,5.05,4586425.64,5025357.08,10450023.47,11749294.09,12856464.02
ball,3,5.1,4588376.84,5020922.68,10389327.89,11750199.5,12759382.13
ball,3,5.15,4587927.89,5018516.33,10452809.61,11772050.34,12846158.79
ball,3,5.2,4583378.02,5025594.04,10388155.46,11838421.0,12850523.63
ball,3,5.25,4581450.74,5052911.2,10446225.34,11819536.5,12770660.03
ball,3,5.3,4588349.85,5053747.39,10371738.97,11829192.11,12782889.26
ball,3,5.35,4580640.62,5047220.17,10443387.9,11825362.78,12776449.37
ball,3,5.4,4583646.86,5053278.25,10450333.08,11768661.55,12778626.49
ball,3,5.45,4582020.05,5022284.83,10390605.22,11761882.22,12782553.43
ball,3,5.5,4560827.74,5021240.59,10446908.69,11827402.03,12760010.88
ball,3,5.55,4580614.19,5053868.09,10437582.99,11764386.66,12849843.81
ball,3,5.6,4556237.79,5053013.78,10437003.14,11833450.75,12769825.09
ball,3,5.65,4560819.47,5055956.4,10449687.48,11752699.46,12858932.56
ball,3,5.7,4586124.39,5020347.66,10376791.62,11826942.1,12761676.47
ball,3,5.75,4561873.7,5019548.55,10437408.48,11841961.29,12839997.73
ball,3,5.8,4588687.92,5018115.81,10435062.38,11824501.54,12773845.41
ball,3,5.85,4557740.48,5021144.21,10439347.64,11837960.61,12782359.83
ball,3,5.9,4584937.78,5022264.81,10435295.05,11830182.43,12860290.1
ball,3,5.95,4589310.45,5017068.65,10453391.94,11841903.91,12852102.4
ball,4,6.0,4561533.69,5049012.38,10391172.3,11906875.34,12924513.27
ball,4,6.05,4556440.54,5017758.69,10317042.08,11908506.67,12937900.4
ball,4,6.1,4556381.06,5045900.57,10393096.3,11906016.38,12860935.04
ball,4,6.15,4555044.25,5047173.02,10379237.2,11905078.89,12842762.72
ball,4,6.2,4535738.3,5044828.09,10391918.05,11845301.32,12858474.88
ball,4,6.25,4561477.45,5018080.18,10322825.49,11838802.85,12857429.62
ball,4,6.3,4559630.21,5050521.28,10332225.99,11920557.27,12943186.04
ball,4,6.35,4559446.05,5016299.18,10383685.42,11836291.52,12860751.42
ball,4,6.4,4530174.7,5011497.71,10378861.9,11909573.22,12859703.13
ball,4,6.45,4563574.96,5014917.14,10324412.54,11921400.37,12918765.2
ball,4,6.5,4534839.87,5044723.59,10391609.12,11844303.75,12860533.4
ball,4,6.55,4557356.61,5043179.56,10384130.19,11841008.25,12841923.31
ball,4,6.6,4531222.09,5044292.25,10394376.73,11909162.61,12941206.16
ball,4,6.65,4532519.82,5017248.52,10315489.3,11922634.64,12939630.17
ball,4,6.7,4529669.94,5015741.16,10328815.01,11905645.63,12936515.19
ball,4,6.75,4560433.97,5014829.31,10327277.79,11849641.86,12865923.81
ball,4,6.8,4559559.29,5045351.91,10328388.37,11907185.18,12854904.74
ball,4,6.85,4531930.53,5042960.33,10391728.58,11831471.96,12932670.64
ball,4,6.9,4528882.24,5018159.25,10378775.65,11917722.3,12842068.09
ball,4,6.95,4557885.46,5013415.77,10376756.3,11843660.0,12929483.65
ball,4,7.0,4529844.74,5010904.76,10378723.69,11914330.86,12921144.59
ball,4,7.05,4560269.42,5015130.9,10390399.17,11922708.62,12842933.44
ball,4,7.1,4561456.1,5018611.87,10313894.77,11845846.25,12841518.8
ball,4,7.15,4531897.59,5018950.28,10327153.76,11920998.42,12842783.94
ball,4,7.2,4532491.18,5049423.1,10318939.62,11842798.63,12846461.53
ball,4,7.25,4558722.53,5050013.36,10387802.52,11903585.7,12937879.52
ball,4,7.3,4532492.17,5014294.67,10375338.38,11840523.33,12842675.98
ball,4,7.35,4531585.16,5044877.44,10322593.78,11916020.65,12846356.25
ball,4,7.4,4560118.82,5020754.25,10312959.91,11837269.54,12854292.28
ball,4,7.45,4530117.39,5011667.51,10390435.15,11851981.04,12919373.32
ball,4,7.5,4530795.75,5012150.1,10314022.79,11923493.81,12926971.38
ball,4,7.55,4555011.64,5050240.77,10386797.08,11847889.49,12927334.76
ball,4,7.6,4558223.36,5013474.93,10321581.53,11829337.71,12844790.64
ball,4,7.65,4560014.27,5050911.63,10383052.54,11848231.85,12865844.43
ball,4,7.7,4530454.33,5015294.3,10317300.6,11922415.37,12860699.43
ball,4,7.75,4535471.46,5042477.61,10313322.45,11918746.42,12923536.14
ball,4,7.8,4557415.9,5043382.51,10378159.99,11911212.13,12927193.52
ball,4,7.85,4562895.22,5011907.53,10322295.52,11838636.06,12932144.47
ball,4,7.9,4555863.05,5046657.72,10318479.23,11918672.33,12932349.83
ball,4,7.95,4560551.64,5049682.33,10331094.47,11912311.77,12866113.53
ball,5,8.0,4554363.65,5023465.91,10314277.6,11813220.25,12773505.81
ball,5,8.05,4530906.15,4991197.43,10323425.1,11758934.65,12854791.53
ball,5,8.1,4530433.92,5019677.9,10316686.83,11744563.64,12775872.88
ball,5,8.15,4552441.89,5018584.7,10316597.29,11827042.59,12777194.8
ball,5,8.2,4560550.26,4988606.15,10373404.61,11755053.45,12848104.9
ball,5,8.25,4529921.48,5023811.54,10381131.07,11751272.42,12771392.71
ball,5,8.3,4531969.01,4994007.18,10372737.15,11757178.92,12848947.37
ball,5,8.35,4557761.71,4985948.81,10305960.78,11747008.76,12782500.54
ball,5,8.4,4531783.94,5020010.72,10310289.18,11748440.48,12776981.89
ball,5,8.45,4531415.16,4992132.41,10312524.72,11753057.3,12779037.21
ball,5,8.5,4527112.2,4986369.97,10383111.74,11829998.25,12852217.56
ball,5,8.55,4553202.84,5015963.91,10322499.64,11824394.89,12863307.06
ball,5,8.6,4552996.09,5022404.6,10323884.06,11746672.83,12851427.2
ball,5,8.65,4559940.99,4987822.17,10319238.22,11751173.35,12787024.35
