Label,Trial_ID,Time,S0,S1,S2,S3,S4
book,2,3.6,3148057.39,3340319.67,8747420.2,10227917.07,11094997.94
book,2,3.65,3152360.54,3315790.74,8749075.84,10219244.56,11037111.44
book,2,3.7,3152039.24,3338843.4,8739330.73,10234680.94,11027195.59
book,2,3.75,3148774.88,3319174.03,8684570.28,10223367.78,11108563.5
book,2,3.8,3130868.22,3318232.01,8692119.48,10231855.2,11104933.52
book,2,3.85,3151772.08,3337852.5,8737596.35,10220108.29,11105487.75
book,2,3.9,3129219.39,3337401.21,8749065.62,10280079.92,11046502.51
book,2,3.95,3149551.48,3317242.31,8687054.33,10224471.85,11110556.92
book,3,4.0,3149647.99,3362067.96,8757870.75,10237950.4,11033934.38
book,3,4.05,3129614.9,3361532.67,8745501.02,10166000.43,11106999.6
book,3,4.1,3151569.28,3360911.44,8751220.85,10228581.1,11040792.39
book,3,4.15,3150222.61,3362806.94,8759457.8,10222447.18,11095280.83
book,3,4.2,3130261.76,3342302.42,8757419.76,10218948.44,11026344.72
book,3,4.25,3150680.15,3339908.16,8798506.0,10168817.31,11110873.25
book,3,4.3,3151465.34,3360620.71,8803646.28,10229890.42,11104037.12
book,3,4.35,3127517.67,3345109.07,8800824.52,10225972.78,11045411.11
book,3,4.4,3148102.75,3345188.53,8750396.4,10223881.57,11092226.62
book,3,4.45,3133015.1,3342217.87,8753869.36,10161330.81,11036374.45
book,3,4.5,3132230.2,3361614.5,8755964.84,10164825.77,11035961.88
book,3,4.55,3127857.66,3340218.13,8755608.32,10173852.1,11098407.44
book,3,4.6,3151765.84,3362965.48,8805989.13,10162735.36,11107452.63
book,3,4.65,3129986.53,3345627.88,8808396.87,10231456.98,11095519.94
book,3,4.7,3128605.94,3361791.4,8749524.51,10230354.46,11045198.74
book,3,4.75,3131801.71,3360542.64,8757086.13,10166067.81,11096930.92
book,3,4.8,3132398.11,3341244.73,8797696.02,10157763.36,11104973.46
book,3,4.85,3148465.83,3344039.06,8812652.36,10166401.24,11100657.07
book,3,4.9,3130859.11,3365325.91,8759084.44,10227075.64,11044701.82
book,3,4.95,3151764.79,3345632.18,8758161.61,10232216.82,11035974.12
book,3,5.0,3150894.01,3339836.63,8809377.7,10170315.83,11029927.19
book,3,5.05,3131421.83,3366278.54,8807835.02,10169479.93,11107611.63
book,3,5.1,3128637.11,3345739.19,8805951.29,10174600.17,11041560.43
book,3,5.15,3128533.15,3364802.02,8750059.87,10220881.03,11101937.07
book,3,5.2,3130544.8,3343388.32,8804890.44,10226268.6,11109940.08
book,3,5.25,3152245.81,3340515.81,8809852.16,10218251.87,11047607.13
book,3,5.3,3132867.57,3366147.97,8803883.15,10221867.69,11103251.3
book,3,5.35,3127891.33,3345740.71,8809346.95,10170139.88,11039671.99
book,3,5.4,3148115.1,3363027.19,8753616.12,10164327.52,11104292.7
book,3,5.45,3129662.58,3345499.29,8752516.07,10158663.07,11028102.46
book,3,5.5,3150874.79,3364381.0,8803515.32,10235459.89,11096196.24
book,3,5.55,3149537.53,3344078.64,8808384.88,10225733.44,11101082.66
book,3,5.6,3130588.78,3362896.75,8743908.03,10220063.09,11104445.41
book,3,5.65,3132908.39,3340373.71,8807671.54,10173133.52,11038470.42
